name,version,category,keywords,decscription,url
debwt,ctr-1.0.1--ha92aebf_2,Bioinformatics,Biocontainer,The debwt package,https//quay.io/repository/biocontainers/debwt
debwt,ctr-1.0.1--0,Bioinformatics,Biocontainer,The debwt package,https//quay.io/repository/biocontainers/debwt
debwt,ctr-1.0.1--1,Bioinformatics,Biocontainer,The debwt package,https//quay.io/repository/biocontainers/debwt
edlib,ctr-1.1.2--0,Bioinformatics,Biocontainer,The edlib package,https//quay.io/repository/biocontainers/edlib
edlib,ctr-1.2.1--0,Bioinformatics,Biocontainer,The edlib package,https//quay.io/repository/biocontainers/edlib
edlib,ctr-1.2.3--0,Bioinformatics,Biocontainer,The edlib package,https//quay.io/repository/biocontainers/edlib
edlib,ctr-1.0.0--0,Bioinformatics,Biocontainer,The edlib package,https//quay.io/repository/biocontainers/edlib
edlib,ctr-1.2.3--h2d50403_1,Bioinformatics,Biocontainer,The edlib package,https//quay.io/repository/biocontainers/edlib
edlib,ctr-1.2.0--0,Bioinformatics,Biocontainer,The edlib package,https//quay.io/repository/biocontainers/edlib
ddocent,ctr-2.2.8--0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
ddocent,ctr-2.2.25--bamtools2.4.1_2,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
ddocent,ctr-2.5.5--h683765c_0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
ddocent,ctr-2.2.25--bamtools2.4.1_1,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
ddocent,ctr-2.2.16--0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
ddocent,ctr-2.1--0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
ddocent,ctr-2.6.0--h470a237_2,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
ddocent,ctr-2.2.20--0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
ddocent,ctr-2.6.0--h470a237_0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
ddocent,ctr-2.5.1--bamtools2.4.1_0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
ddocent,ctr-2.6.0--h470a237_1,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
ddocent,ctr-2.5.6--h470a237_0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
ddocent,ctr-2.5.2--bamtools2.4.1_0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
ddocent,ctr-2.5.2--bamtools2.4.1_1,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
ddocent,ctr-2.2.13--0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
ddocent,ctr-2.2.25--0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
ddocent,ctr-2.3.8--bamtools2.4.1_0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
ddocent,ctr-2.2.19--0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
ddocent,ctr-2.2.15--0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent
openmolar,ctr-v1.0.15-gd81f9e5-1-deb_cv1,Bioinformatics,Biocontainer,This project no longer uses launchpad for code hosting.,https//hub.docker.com/r/biocontainers/openmolar
mercat,ctr-0.1--py27_0,Bioinformatics,Biocontainer,The mercat package,https//quay.io/repository/biocontainers/mercat
mercat,ctr-0.2--py27_0,Bioinformatics,Biocontainer,The mercat package,https//quay.io/repository/biocontainers/mercat
mercat,ctr-0.1--py35_0,Bioinformatics,Biocontainer,The mercat package,https//quay.io/repository/biocontainers/mercat
mercat,ctr-0.2--py36_0,Bioinformatics,Biocontainer,The mercat package,https//quay.io/repository/biocontainers/mercat
mercat,ctr-0.2--py34_0,Bioinformatics,Biocontainer,The mercat package,https//quay.io/repository/biocontainers/mercat
mercat,ctr-0.1--py34_0,Bioinformatics,Biocontainer,The mercat package,https//quay.io/repository/biocontainers/mercat
mercat,ctr-0.2--py_1,Bioinformatics,Biocontainer,The mercat package,https//quay.io/repository/biocontainers/mercat
mercat,ctr-0.2--py35_0,Bioinformatics,Biocontainer,The mercat package,https//quay.io/repository/biocontainers/mercat
agg,ctr-0.3.6--hd28b015_0,Bioinformatics,Biocontainer,The agg package,https//quay.io/repository/biocontainers/agg
agg,ctr-0.3.5--1,Bioinformatics,Biocontainer,The agg package,https//quay.io/repository/biocontainers/agg
agg,ctr-0.3.5--0,Bioinformatics,Biocontainer,The agg package,https//quay.io/repository/biocontainers/agg
r-downloader,ctr-0.0.4--r3.3.2_0,Bioinformatics,Biocontainer,The r-downloader package,https//quay.io/repository/biocontainers/r-downloader
deeptoolsintervals,ctr-0.1.7--py27h470a237_0,Bioinformatics,Biocontainer,The deeptoolsintervals package,https//quay.io/repository/biocontainers/deeptoolsintervals
deeptoolsintervals,ctr-0.1.7--py35h470a237_0,Bioinformatics,Biocontainer,The deeptoolsintervals package,https//quay.io/repository/biocontainers/deeptoolsintervals
deeptoolsintervals,ctr-0.1.7--py36h470a237_0,Bioinformatics,Biocontainer,The deeptoolsintervals package,https//quay.io/repository/biocontainers/deeptoolsintervals
plant_tribes_gene_family_classifier,ctr-1.0.2--1,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier
plant_tribes_gene_family_classifier,ctr-1.0.3--pl5.22.0_0,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier
plant_tribes_gene_family_classifier,ctr-1.0.3--pl5.22.0_1,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier
plant_tribes_gene_family_classifier,ctr-1.0.0--1,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier
plant_tribes_gene_family_classifier,ctr-0.2--0,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier
plant_tribes_gene_family_classifier,ctr-1.0.2--pl5.22.0_0,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier
plant_tribes_gene_family_classifier,ctr-1.0.3--2,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier
plant_tribes_gene_family_classifier,ctr-0.3--pl5.22.0_1,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier
plant_tribes_gene_family_classifier,ctr-1.0.0--pl5.22.0_0,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier
plant_tribes_gene_family_classifier,ctr-0.1--0,Bioinformatics,Biocontainer,The plant_tribes_gene_family_classifier package,https//quay.io/repository/biocontainers/plant_tribes_gene_family_classifier
eggnog-mapper,ctr-1.0.1--py27_0,Database search,Metagenomics,For fast functional annotation of novel sequences. It uses precomputed orthologous groups and phylogenies from the eggNOG database to transfer functional information from fine-grained orthologs only. Its common uses include the annotation of novel genomes,https//quay.io/repository/biocontainers/eggnog-mapper
eggnog-mapper,ctr-1.0.2--py27_0,Database search,Metagenomics,For fast functional annotation of novel sequences. It uses precomputed orthologous groups and phylogenies from the eggNOG database to transfer functional information from fine-grained orthologs only. Its common uses include the annotation of novel genomes,https//quay.io/repository/biocontainers/eggnog-mapper
eggnog-mapper,ctr-1.0.0--py27_0,Database search,Metagenomics,For fast functional annotation of novel sequences. It uses precomputed orthologous groups and phylogenies from the eggNOG database to transfer functional information from fine-grained orthologs only. Its common uses include the annotation of novel genomes,https//quay.io/repository/biocontainers/eggnog-mapper
eggnog-mapper,ctr-1.0.3--py27_2,Database search,Metagenomics,For fast functional annotation of novel sequences. It uses precomputed orthologous groups and phylogenies from the eggNOG database to transfer functional information from fine-grained orthologs only. Its common uses include the annotation of novel genomes,https//quay.io/repository/biocontainers/eggnog-mapper
eggnog-mapper,ctr-1.0.3--py27_1,Database search,Metagenomics,For fast functional annotation of novel sequences. It uses precomputed orthologous groups and phylogenies from the eggNOG database to transfer functional information from fine-grained orthologs only. Its common uses include the annotation of novel genomes,https//quay.io/repository/biocontainers/eggnog-mapper
eggnog-mapper,ctr-1.0.3--py27_0,Database search,Metagenomics,For fast functional annotation of novel sequences. It uses precomputed orthologous groups and phylogenies from the eggNOG database to transfer functional information from fine-grained orthologs only. Its common uses include the annotation of novel genomes,https//quay.io/repository/biocontainers/eggnog-mapper
biobb_analysis,ctr-0.1.3--py_0,Bioinformatics,Biocontainer,The biobb_analysis package,https//quay.io/repository/biocontainers/biobb_analysis
biobb_analysis,ctr-0.1.2--py_0,Bioinformatics,Biocontainer,The biobb_analysis package,https//quay.io/repository/biocontainers/biobb_analysis
biobb_analysis,ctr-0.0.8--py_0,Bioinformatics,Biocontainer,The biobb_analysis package,https//quay.io/repository/biocontainers/biobb_analysis
biobb_analysis,ctr-0.1.1--py_0,Bioinformatics,Biocontainer,The biobb_analysis package,https//quay.io/repository/biocontainers/biobb_analysis
biobb_analysis,ctr-0.0.9--py_0,Bioinformatics,Biocontainer,The biobb_analysis package,https//quay.io/repository/biocontainers/biobb_analysis
biobb_analysis,ctr-0.1.0--py_0,Bioinformatics,Biocontainer,The biobb_analysis package,https//quay.io/repository/biocontainers/biobb_analysis
biobb_analysis,ctr-0.0.4--py_0,Bioinformatics,Biocontainer,The biobb_analysis package,https//quay.io/repository/biocontainers/biobb_analysis
ecmwfapi,ctr-1.4.1--py27_0,Bioinformatics,Biocontainer,The ecmwfapi package,https//quay.io/repository/biocontainers/ecmwfapi
