name,version,category,keywords,decscription,url,moduleName
debwt,ctr-1.0.1--ha92aebf_2,Bioinformatics,Biocontainer,The debwt package,https//quay.io/repository/biocontainers/debwt,debwt/ctr-1.0.1--ha92aebf_2
debwt,ctr-1.0.1--0,Bioinformatics,Biocontainer,The debwt package,https//quay.io/repository/biocontainers/debwt,debwt/ctr-1.0.1--0
debwt,ctr-1.0.1--1,Bioinformatics,Biocontainer,The debwt package,https//quay.io/repository/biocontainers/debwt,debwt/ctr-1.0.1--1
edlib,ctr-1.1.2--0,Bioinformatics,Biocontainer,The edlib package,https//quay.io/repository/biocontainers/edlib,edlib/ctr-1.1.2--0
edlib,ctr-1.2.1--0,Bioinformatics,Biocontainer,The edlib package,https//quay.io/repository/biocontainers/edlib,edlib/ctr-1.2.1--0
edlib,ctr-1.2.3--0,Bioinformatics,Biocontainer,The edlib package,https//quay.io/repository/biocontainers/edlib,edlib/ctr-1.2.3--0
edlib,ctr-1.0.0--0,Bioinformatics,Biocontainer,The edlib package,https//quay.io/repository/biocontainers/edlib,edlib/ctr-1.0.0--0
edlib,ctr-1.2.3--h2d50403_1,Bioinformatics,Biocontainer,The edlib package,https//quay.io/repository/biocontainers/edlib,edlib/ctr-1.2.3--h2d50403_1
edlib,ctr-1.2.0--0,Bioinformatics,Biocontainer,The edlib package,https//quay.io/repository/biocontainers/edlib,edlib/ctr-1.2.0--0
ddocent,ctr-2.2.8--0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.2.8--0
ddocent,ctr-2.2.25--bamtools2.4.1_2,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.2.25--bamtools2.4.1_2
ddocent,ctr-2.5.5--h683765c_0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.5.5--h683765c_0
ddocent,ctr-2.2.25--bamtools2.4.1_1,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.2.25--bamtools2.4.1_1
ddocent,ctr-2.2.16--0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.2.16--0
ddocent,ctr-2.1--0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.1--0
ddocent,ctr-2.6.0--h470a237_2,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.6.0--h470a237_2
ddocent,ctr-2.2.20--0,Bioinformatics,Biocontainer,The ddocent package,https//quay.io/repository/biocontainers/ddocent,ddocent/ctr-2.2.20--0
